#options: 2520x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=7000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:56 out:57 type:b dur:2 cpbdur:2 q:24.15 aq:15.13 tex:148629 mv:51981 misc:6734 imb:4573 pmb:4179 smb:1992 d:t ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:24.28 aq:16.28 tex:542314 mv:77956 misc:1090 imb:7192 pmb:3518 smb:34 d:s ref:0 w:5,75,-22,0,2,-128,2,-128 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:24.19 aq:16.84 tex:275850 mv:72308 misc:5890 imb:5464 pmb:3793 smb:1487 d:t ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:24.14 aq:16.77 tex:163458 mv:58647 misc:7631 imb:3840 pmb:4609 smb:2295 d:s ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:24.24 aq:17.76 tex:157633 mv:61379 misc:8396 imb:3396 pmb:4554 smb:2794 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:24.76 aq:17.84 tex:544495 mv:86719 misc:1282 imb:6037 pmb:4627 smb:80 d:s ref:0 w:4,25,-8,5,51,-76,51,-76 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:24.52 aq:18.46 tex:325517 mv:83635 misc:5584 imb:4905 pmb:4587 smb:1252 d:t ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:24.40 aq:18.66 tex:177589 mv:70765 misc:7950 imb:3340 pmb:4991 smb:2413 d:s ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:24.64 aq:19.38 tex:156234 mv:65095 misc:8863 imb:2734 pmb:4917 smb:3093 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:25.30 aq:18.78 tex:491474 mv:86360 misc:1702 imb:5653 pmb:4935 smb:156 d:s ref:0 w:6,87,-6,3,11,-48,11,-48 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:25.03 aq:19.83 tex:316489 mv:84018 misc:6413 imb:4175 pmb:4988 smb:1581 d:t ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:24.89 aq:20.23 tex:168223 mv:71020 misc:8541 imb:2686 pmb:5293 smb:2765 d:t ref:0 ;
